1051,"Reitmans Department Store","3803 Calgary Trail N.W.Unit #178","Southpark Centre","EDMONTON","AB",523
1052,"Reitmans Department Store","40 Great Lakes Drive, Unit #A3","Trinity Common,","BRAMPTON","ON",501
1053,"Reitmans Department Store","1585 Kenaston Blvd. Unit 2","First Pro Kenaston Place,","WINNIPEG","MB",503
1055,"Reitmans Department Store","1632-14th Ave. NW, Unit #1680","North Hill Shopping Centre,","CALGARY","AB",521
1056,"Reitmans Department Store","333 Brooksbank Ave., Suite #740","Park & Tilford Centre","NORTH VANCOUVER","BC",522
1057,"Reitmans Department Store","11 Bellerose Drive, Unit #28","Inglewood Towne Centre","ST ALBERT","AB",523
1058,"Reitmans Department Store","3091 - 152nd Street","South Point Exchange","SURREY","BC",522
1059,"Reitmans Department Store","689 Westville Rd., Unit #330","Highland Square,","NEW GLASGOW","NS",519
1061,"Reitmans Department Store","300 Eagleson Road, Unit #30/31","Hazeldean Mall","KANATA","ON",518
1062,"Reitmans Department Store","814 Warden Avenue, Unit #101","First Warden Shopping Centre","SCARBOROUGH","ON",537
1063,"Reitmans Department Store","7190 Morrison Street, Unit #4","RioCan Niagara Falls","NIAGARA FALLS","ON",548
1065,"Reitmans Department Store","2004 - 50th Avenue, Unit #177","Southpointe Common,","RED DEER","AB",521
1066,"Reitmans Department Store","1380 London Road, Unit #135","Lambton Mall","SARNIA","ON",504
1067,"Reitmans Department Store","50 Pinebush Rd., Unit #3","First Pro Cambridge Power Centre","CAMBRIDGE","ON",548
1068,"Reitmans Department Store","1055 Hillside Drive Unit #410","First Pro Hillside Centre,","KAMLOOPS","BC",525
1069,"Reitmans Department Store","420 Vansickle Road, Unit #1","First Pro Garden City Centre","ST CATHARINES","ON",548
1071,"Reitmans Department Store","354 Government Road East, Building B","First Pro TransCanada Centre","KAPUSKASING","ON",507
1072,"Reitmans Department Store","3655 Portage Avenue, Unit #1","First Pro Assiniboine,","WINNIPEG","MB",503
1073,"Reitmans Department Store","95 Aberdeen Avenue, Unit #4","First Pro Stavanger Centre","ST. JOHN'S","NL",549
1074,"Reitmans Department Store","498 Bayfield Street","First Pro Baystone Centre,","BARRIE","ON",507
1075,"Reitmans Department Store","2055 Tenth Line Road Unit #2,","Trinity Common,","ORLEANS","ON",518
1076,"Reitmans Department Store","821 Golf Links Rd","Meadowlands Power Centre","ANCASTER","ON",548
1078,"Reitmans Department Store","13534 - 137th Ave. NW","Skyview Power Centre,","EDMONTON","AB",523
1079,"Reitmans Department Store","1555 Talbot Rd., Unit #600","Windsor Crossing Premium Outlets,","WINDSOR","ON",504
1080,"Reitmans Department Store","288 Erie Street South, B3","RioCan Centre Leamington,","LEAMINGTON","ON",504
1081,"Reitmans Department Store","3175 Cliffe Avenue, Unit #105","First Pro Seaside Centre,","COURTENAY","BC",526
1082,"Reitmans Department Store","6075 Mavis Road, Unit #11","Heartland Town Centre,","MISSISSAUGA","ON",501
1083,"Reitmans Department Store","1381 Regent Street, Unit #H-002","Regent Mall,","FREDERICTON","NB",519
1084,"Reitmans Department Store","32700 South Fraser Way, Unit #55","West Oaks Mall,","ABBOTSFORD","BC",522
1085,"Reitmans Department Store","5710 - 24th Street","First Pro North Okanagan Centre,","VERNON","BC",525
1086,"Reitmans Department Store","2050 Prince of Wales Drive","First Pro East Regina Power Centre,","REGINA","SK",524
1087,"Reitmans Department Store","1900 Innes Road, Unit 30","Innes Centre,","GLOUCESTER","ON",518
1088,"Reitmans Department Store","3161 Greenbank, Unit #7","RioCan Market Place,","NEPEAN","ON",518
1089,"Reitmans Department Store","3712 Mayor Magrath Drive S.","First Pro Southbridge Centre","LETHBRIDGE","AB",521
1090,"Reitmans Department Store","10821 - 102 Avenue, Unit #7","RioCan Centre Grande Prairie,","GRANDE PRAIRIE","AB",523
